sample,patient,project,FAP13,matrix4,fib5,SenMayo,Troph_MMPplus,Troph_MMPminus,Telocyte_CAF
TCGA-3L-AA1B-01,TCGA-3L-AA1B,TCGA-COAD,0.14936961832598106,-0.18203717156939686,0.5749469232193892,0.004854111292693007,0.009821567227394258,0.27573574368806786,0.5935321559356308
TCGA-4N-A93T-01,TCGA-4N-A93T,TCGA-COAD,-1.519212442660402,-1.916366219887751,-1.492264564268904,-0.7247130078137157,-0.9184897582353809,-1.0789933891272507,-0.6005423216196578
TCGA-4T-AA8H-01,TCGA-4T-AA8H,TCGA-COAD,-1.8009513061015168,-1.748789879158008,-1.8332397660195376,-0.865641188516979,-1.2896304458972905,-1.3225471382924676,-0.8008983285844322
TCGA-5M-AAT4-01,TCGA-5M-AAT4,TCGA-COAD,-0.7409010479119507,-0.7974157446418304,-0.7212411815279287,-0.48884507183891784,-0.5326035730103006,-0.5379776025275502,-0.4001494940276325
TCGA-5M-AAT5-01,TCGA-5M-AAT5,TCGA-COAD,-0.8629312461919235,-0.5864694125485626,-1.0095711280264654,-0.30331645762642084,-0.713817655114086,-0.9185759309982864,-0.11821127235252327
TCGA-5M-AAT6-01,TCGA-5M-AAT6,TCGA-COAD,0.6741506222712351,1.2796083869471422,0.6824768011837062,0.28115901147473715,0.7296006988154315,0.8323133476067519,0.22468274810011513
TCGA-5M-AATA-01,TCGA-5M-AATA,TCGA-COAD,0.05667777957829,-0.29058010383096455,0.03551468156566889,0.08212079399315349,-0.1998344867920057,-0.3370570567793811,0.19928210332462037
TCGA-5M-AATE-01,TCGA-5M-AATE,TCGA-COAD,-0.4864327863745062,-0.556330579913249,-0.2769336766994167,-0.47066062957975596,-0.3740369120966536,-0.3723349357008788,-0.05051513020729995
TCGA-A6-2675-01,TCGA-A6-2675,TCGA-COAD,0.7899151541311559,0.9531606096430154,0.9542140404320507,0.3860193110077075,0.8957625887240402,0.9298105274687495,0.471529294610844
TCGA-A6-2682-01,TCGA-A6-2682,TCGA-COAD,1.0697241307467253,0.6014518869953323,0.6360513581195426,0.6514685024752189,0.5668018764976597,0.6595940486207312,0.40532743715534963
TCGA-A6-2684-01,TCGA-A6-2684,TCGA-COAD,0.8825832963704592,0.3187436653711273,0.7405845350152864,0.3755191338337235,0.540773081140267,0.6216108532608836,0.4720626305946605
TCGA-A6-2685-01,TCGA-A6-2685,TCGA-COAD,1.0059896351875548,0.8356364041860262,1.148883465548901,0.5984240988975235,0.8814080271844856,0.9148961740131416,0.7729434198507509
TCGA-A6-2686-01,TCGA-A6-2686,TCGA-COAD,0.5171192765106902,-0.30502218754420984,0.46980303045665145,0.5044393792842015,0.4226326491789526,0.30772676455817705,0.08071681040462958
TCGA-A6-4105-01,TCGA-A6-4105,TCGA-COAD,0.5139187335098121,0.6591264610518541,0.6054763281942284,0.5905412903305812,0.46966315745318027,0.26981649240119865,0.39633148240668054
TCGA-A6-5656-01,TCGA-A6-5656,TCGA-COAD,-0.549875697586933,-0.9635690018142608,-1.0189247828835075,-0.41332408787655045,-0.43481847924462275,-0.4949191509834594,-0.18963418463403195
TCGA-A6-5657-01,TCGA-A6-5657,TCGA-COAD,0.9522561227867634,0.9123247688797217,0.9029063081595335,0.43581609350198375,0.6944962961201115,0.6823949400710912,0.5219042820032742
TCGA-A6-5659-01,TCGA-A6-5659,TCGA-COAD,0.16918916321328467,-0.46053828357191895,0.2283122394659582,-0.1991703590081623,-0.1664696706289748,-0.026588404729072892,0.01458353333929506
TCGA-A6-5660-01,TCGA-A6-5660,TCGA-COAD,0.5158952632479585,0.16332737040831583,0.37747996261859484,-0.08233780644335537,0.04447173849709854,0.1439375863638786,0.12799012378104538
TCGA-A6-5661-01,TCGA-A6-5661,TCGA-COAD,-0.1951588742117025,-0.2619240080628708,-0.340606936841537,0.030374703979241434,-0.22787125523297036,-0.37428578263252615,-0.3116589159275332
TCGA-A6-5662-01,TCGA-A6-5662,TCGA-COAD,0.0011779113039706024,-0.1098024960786505,-0.417186819944253,-0.3390551058767663,-0.03714746067712392,-0.0627575978742143,-0.03310571108758268
TCGA-A6-5664-01,TCGA-A6-5664,TCGA-COAD,0.7065175138209235,1.1001682398361985,1.3305873881108257,0.7404483371318731,0.5770833989422859,0.7297246648076742,0.5704556046795037
TCGA-A6-5665-01,TCGA-A6-5665,TCGA-COAD,-0.9167430106288523,-1.277847568175523,-1.1701972118975257,-0.14280183251265655,-0.6920131797160823,-0.8260625134285167,-0.5415960361985555
TCGA-A6-5666-01,TCGA-A6-5666,TCGA-COAD,-1.038525395229073,-0.9548029055517275,-1.3588024942667485,-0.5855000581846953,-0.911727358827938,-0.9501295944132085,-0.9300663201604026
TCGA-A6-5667-01,TCGA-A6-5667,TCGA-COAD,0.06983883625399259,-0.010052563181681975,0.08196129155032897,0.01661407010373737,0.1192560416417492,0.2094828503226382,0.1939530930762243
TCGA-A6-6137-01,TCGA-A6-6137,TCGA-COAD,-0.5001310830366769,-0.6903753352609039,-0.2632314314315957,0.16100436547829963,-0.3694114227031498,-0.36034871902576554,0.015106362455018407
TCGA-A6-6138-01,TCGA-A6-6138,TCGA-COAD,0.40392905169919213,0.13178084481940286,0.5356321414837504,0.5251490405314436,0.27441044079247234,0.32427984797578013,0.26080894887408707
TCGA-A6-6140-01,TCGA-A6-6140,TCGA-COAD,-0.8141383204790168,-0.7848831720809173,-0.8610531616485042,-0.18673109534698015,-0.6517679319829938,-0.8875782456227276,-0.09695136656261662
TCGA-A6-6141-01,TCGA-A6-6141,TCGA-COAD,-0.15128307575364347,-0.14785911458942885,0.13119403816489378,-0.1338986350682393,0.040430405097131784,0.23797962129871425,0.18222168639483144
TCGA-A6-6142-01,TCGA-A6-6142,TCGA-COAD,1.343377635960638,1.3057399598400252,0.9390076290639355,0.6138727010188153,1.069628188162564,1.0322845098711029,0.8455423594425978
TCGA-A6-6648-01,TCGA-A6-6648,TCGA-COAD,-0.7636841531891819,-0.7943914757444429,-0.5340535317658313,-0.2687511327985152,-0.8485622965353387,-0.8190948446873547,-0.4164499600624542
TCGA-A6-6649-01,TCGA-A6-6649,TCGA-COAD,0.21373751707003436,-0.1670286625450456,0.6472619592246708,0.27076883395921425,0.3487599434395238,0.5125657227669032,0.49739780783643717
TCGA-A6-6650-01,TCGA-A6-6650,TCGA-COAD,-0.6693175654322145,-0.8731227356263607,-0.6106755370430764,-0.451011547926822,-0.9752470753901243,-0.8773263749295505,-0.39203805161673233
TCGA-A6-6651-01,TCGA-A6-6651,TCGA-COAD,1.4617916933032296,1.1925508013581476,1.678113828293845,0.5504301861890488,0.9199363690302018,1.2846092060794934,0.8455244574740894
TCGA-A6-6652-01,TCGA-A6-6652,TCGA-COAD,-0.5722643200293318,-0.7540265337608058,-0.599835760242158,-0.44478193783533715,-0.3235478888621283,-0.4096753312227443,-0.0051283916822912464
TCGA-A6-6653-01,TCGA-A6-6653,TCGA-COAD,0.26900027417812933,0.2806087517026063,0.3151772989593987,0.17360783091604848,0.012543959541695345,-0.12525312777255868,0.2525713804233535
TCGA-A6-6654-01,TCGA-A6-6654,TCGA-COAD,1.449664732146779,1.6656404065859196,1.3413949299712278,0.7348600926834323,1.318086816357095,1.2216381366760767,0.7563901780370023
TCGA-A6-6780-01,TCGA-A6-6780,TCGA-COAD,-0.5316584309687704,-0.408522282327342,-1.2219254018765169,-0.05751805827511761,-0.5286036304024624,-0.6229420043117647,-0.7734826082334619
TCGA-A6-6781-01,TCGA-A6-6781,TCGA-COAD,1.7587007911196924,2.188297438116182,1.529666620484442,0.6859566582782805,1.4720387199863587,1.4827308683097995,0.8946737022206697
TCGA-A6-6782-01,TCGA-A6-6782,TCGA-COAD,0.6404124245722992,0.8872944003213135,0.9167799082028246,0.4712521579364984,0.5914817676579697,0.7860300828581777,0.3340541591278982
TCGA-A6-A565-01,TCGA-A6-A565,TCGA-COAD,0.4912823920378227,0.3819292546798124,0.5048598171726382,0.4970847996003693,0.3584600388480942,0.4759952496138461,0.33315349567669383
TCGA-A6-A566-01,TCGA-A6-A566,TCGA-COAD,2.0077378009390032,2.043986886818666,1.5610848137364322,0.7052476676188058,1.166266179140105,1.3675670448866957,0.6498900677408904
TCGA-A6-A567-01,TCGA-A6-A567,TCGA-COAD,-0.06280704733069242,-0.1506315249931171,-0.15132196387821062,-0.5288968012151974,-0.16514016471514856,-0.11234052248504874,-0.19335055411767202
TCGA-A6-A56B-01,TCGA-A6-A56B,TCGA-COAD,0.42042884830036314,0.7768321372238794,0.5455932479623341,-0.435676378639996,0.20822074243499417,0.2121448891998668,0.12319352847206609
TCGA-A6-A5ZU-01,TCGA-A6-A5ZU,TCGA-COAD,0.4638168635270678,0.9541192054401199,0.4567718897324148,-0.1448247170343213,0.3881116795621656,0.7087547908626313,0.196555897471664
TCGA-AA-3489-01,TCGA-AA-3489,TCGA-COAD,1.2666587168143126,1.5177231673026277,1.6852095077198204,0.6727989055671184,0.9934306467146763,1.2985944711159907,0.4364587775103887
TCGA-AA-3492-01,TCGA-AA-3492,TCGA-COAD,0.06026870143584991,-0.31995389526319806,-0.08489573243010923,-0.04050086167728547,-0.21358404520002253,-0.3819279784979595,-0.17503265678023272
TCGA-AA-3495-01,TCGA-AA-3495,TCGA-COAD,-0.19014540762151,-0.7309622403510384,-0.18027604213322668,0.14870112090300708,-0.2752474265840797,-0.3280919473050838,0.019100806944245662
TCGA-AA-3496-01,TCGA-AA-3496,TCGA-COAD,0.5433374667317257,0.7975323773848865,0.7090518654543845,0.20559178854568017,0.3865267274227531,0.5029360716428318,0.4625501756933239
TCGA-AA-3502-01,TCGA-AA-3502,TCGA-COAD,-1.3801490192411212,-2.645351752708371,-1.4701128399836745,-0.38392859981684596,-1.213824559724935,-1.075168678906574,-0.5041571801306104
TCGA-AA-3506-01,TCGA-AA-3506,TCGA-COAD,0.38802963033327437,0.08177847487389908,0.18158904391919606,0.37474391705577875,0.056868332858223916,0.06893522852104665,0.3644951216498613
TCGA-AA-3509-01,TCGA-AA-3509,TCGA-COAD,-0.07882906201792604,-0.4465291398639582,-0.017082252636784458,0.0012919632004140408,-0.16437661558377373,-0.2178311721364218,-0.02649848289397479
TCGA-AA-3511-01,TCGA-AA-3511,TCGA-COAD,0.5599517666297172,0.6719456195539614,0.7725783367785253,0.09589064177148691,0.5743713538069739,0.59085923917443,0.35331783825699326
TCGA-AA-3526-01,TCGA-AA-3526,TCGA-COAD,0.21383890936819808,0.29976170033397787,0.09469239214954195,0.24948448212825602,0.18643330811690909,-0.110903163446349,0.02226368348113903
TCGA-AA-3655-01,TCGA-AA-3655,TCGA-COAD,-0.021900811049929778,0.276622525596587,0.21597288191272873,0.09527228167001923,0.3301736679599362,0.2502771737845767,0.09370109196117368
TCGA-AA-3660-01,TCGA-AA-3660,TCGA-COAD,-0.21235799938244324,-0.11550011477220315,0.08280200550773614,-0.10526182297263036,-0.013193095943869974,-0.03511889774272535,0.06979981636888177
TCGA-AA-3662-01,TCGA-AA-3662,TCGA-COAD,0.12806114554939263,-0.11348284118697449,0.4074303826860259,0.2680248306577731,0.20535740607267483,0.1142831891693437,0.16517921328584612
TCGA-AA-3663-01,TCGA-AA-3663,TCGA-COAD,-0.3382125383521682,-1.0622865608544487,-0.6455226533492502,0.20422617837194557,-0.8470375178665802,-0.8750848192176609,-0.5663906342147671
TCGA-AA-3675-01,TCGA-AA-3675,TCGA-COAD,0.08188773264145538,-0.14700855813559885,0.03125369494429153,0.07114960316965654,-0.037025247820181524,-0.1848132680788631,-0.04049780471700852
TCGA-AA-3685-01,TCGA-AA-3685,TCGA-COAD,0.19945406254385684,-0.718951369221279,0.06858529856317974,0.5454700056271712,0.058324317710654106,-0.14496855170830572,0.2212304497561421
TCGA-AA-3697-01,TCGA-AA-3697,TCGA-COAD,-0.3877714090947761,-0.6138340604582728,-0.2341075770772501,0.1918980939577105,-0.3270633889431752,-0.5652196941606082,-0.09494338329670275
TCGA-AA-3712-01,TCGA-AA-3712,TCGA-COAD,0.5886314915772861,0.9385068789799533,0.5198169152665681,0.1280019677143323,0.25852377222628353,0.26431757735574674,0.35307693732883455
TCGA-AA-3713-01,TCGA-AA-3713,TCGA-COAD,-0.12106617033119106,-0.37930305769998635,-0.23686292979734244,0.23675730439607262,-0.30294664191718784,-0.2557276264638909,-0.21972178996599992
TCGA-AA-A01P-01,TCGA-AA-A01P,TCGA-COAD,0.6592355097589502,0.9417027132810707,0.4822733477191406,0.3855525901641685,0.7193644558141816,0.5759073764240248,0.23107260872527796
TCGA-AA-A01X-01,TCGA-AA-A01X,TCGA-COAD,-0.5775900400634173,-0.27326077071492383,-0.3830015822081163,-0.34705140150579566,-0.16323150705793507,-0.17128609306325587,0.14799981410527613
TCGA-AA-A01Z-01,TCGA-AA-A01Z,TCGA-COAD,-0.9264963965490801,-0.6448029668148763,-0.7953719307929294,-0.5368962364307958,-0.6349223596259974,-0.8388594814178045,-0.9233884851834088
TCGA-AA-A02K-01,TCGA-AA-A02K,TCGA-COAD,-0.798461595797103,-1.004053336918914,-1.2029064802720493,-0.3953227740776713,-0.5819028075376774,-0.7775875683957475,-0.8202274455385418
TCGA-AA-A02Y-01,TCGA-AA-A02Y,TCGA-COAD,-2.198666937717663,-3.2123213306314735,-2.6145957076726125,-0.42475212197710277,-1.4355528132589856,-1.7929257154149576,-1.1289435253795443
TCGA-AD-5900-01,TCGA-AD-5900,TCGA-COAD,0.3831708942464669,0.1622702466724809,0.34604410707914934,0.06422298945995454,0.37124495491951237,0.36359400317611523,-0.07963643157394176
TCGA-AD-6548-01,TCGA-AD-6548,TCGA-COAD,0.45406973046116905,0.6357975743731626,0.4580346162207496,0.4598459167327629,0.5072981714320154,0.33442775139360725,0.05406195937240107
TCGA-AD-6888-01,TCGA-AD-6888,TCGA-COAD,-1.7905741511107476,-1.8789068007725547,-2.210641945642311,-0.7467812244460971,-1.0326046518477132,-1.3906704086667845,-0.4539310714215806
TCGA-AD-6889-01,TCGA-AD-6889,TCGA-COAD,-0.2401218402683352,-0.3618954268109902,-0.8252436645011585,0.16498250469351392,-0.21473142408069235,-0.6781222787866227,-0.1727148346297411
TCGA-AD-6890-01,TCGA-AD-6890,TCGA-COAD,0.11556314645522343,0.4675148799263992,-0.025302596374295945,-0.05799597148048067,0.1713369965295459,-0.010583947928921958,0.0933839434494467
TCGA-AD-6895-01,TCGA-AD-6895,TCGA-COAD,0.24884265619145632,0.5238779251970206,-0.05603149329344581,0.3370591235668185,0.52492788222777,0.14905925932384725,0.15389778750720576
TCGA-AD-6899-01,TCGA-AD-6899,TCGA-COAD,0.8943477245747737,0.8514010964957872,0.9681670622139965,0.3693945330249761,0.7661637339824269,0.8393624534401828,0.6489887570361126
TCGA-AD-6901-01,TCGA-AD-6901,TCGA-COAD,0.8050279136164324,1.1683415141465272,1.0930231733827318,0.2990663384932747,0.9058224515285161,0.8614978801739201,0.577111895248112
